,chq,faq
0,   How should I treat polymenorrhea in a 14-year-old girl? ,   How should I treat polymenorrhea in a 14-year-old girl?
1,   Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it? Thrombosis ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
2,   Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it? Thrombosis ,   What are the side effects of Florinef?  Could it cause headaches?
3,   Let's give these immunizations.  That's right isn't it? ,   Let's give these immunizations.  That's right isn't it?
4,   Let's give these immunizations.  That's right isn't it? ,   Is there more support we can provide patients with macular degeneration?
5,"   Since these boys' father has Marfan's Syndrome, do these boys need further evaluation? Syndrome Marfan Syndrome Arachnodactyly Dilatation, Pathologic Marfan Syndrome ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
6,"   Since these boys' father has Marfan's Syndrome, do these boys need further evaluation? Syndrome Marfan Syndrome Arachnodactyly Dilatation, Pathologic Marfan Syndrome ",   How should I treat polymenorrhea in a 14-year-old girl?
7,"   Why did they cut out the expanding granuloma which was due to Coccidiomycosis immitis, rather than just treat it medically? Granuloma Mycoses Aspergillosis Candidiasis Cryptococcosis Aspergillosis Cryptococcosis ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
8,"   Why did she get Coccidiomycosis?  She's in her 60's, goes to Florida every winter. Mycoses Aspergillosis Candidiasis Cryptococcosis Aspergillosis Cryptococcosis ",   Why did she get Coccidiomycosis?
9,   How do you inject the bicipital tendon? ,   How do you inject the bicipital tendon?
10,   How do you inject the bicipital tendon? ,   Let's give these immunizations.  That's right isn't it?
11,   I wonder if this patient could have a rotator cuff thing? ,   I wonder if this patient could have a rotator cuff thing?
12,   I wonder if this patient could have a rotator cuff thing? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
13,   How do you use Redux?  What are the indications? ,   How do you use Redux?  What are the indications?
14,   How do you use Redux?  What are the indications? ,   How should I treat polymenorrhea in a 14-year-old girl?
15,"   What is the cause and treatment of this old man's stomatitis? Stomatitis Stomatitis, Aphthous Aphthous Stomatitis ",   What is the cause and treatment of this old man's stomatitis?
16,   What antibiotic should I use for this diabetic patient's infected foot ulcer? Ulcer Diabetic Foot Foot Ulcer Retinal Diseases Diabetic Retinopathy ,   What antibiotic should I use for this diabetic patient's infected foot ulcer?
17,   What antibiotic should I use for this diabetic patient's infected foot ulcer? Ulcer Diabetic Foot Foot Ulcer Retinal Diseases Diabetic Retinopathy ,   At what ages should you do a Denver Developmental Screening Test?
18,"   Should we switch now to just Ancef?  Are you satisfied with the rate of improvement? (Orthopedist did not get culture, foot still red) ",   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
19,"   Should we switch now to just Ancef?  Are you satisfied with the rate of improvement? (Orthopedist did not get culture, foot still red) ",   What are the causes of tinnitus?
20,   Is melatonin good for anything?  I don't know anything about melatonin.  I need to know the dose. ,   Is melatonin good for anything?  What is the dose?
21,   Is melatonin good for anything?  I don't know anything about melatonin.  I need to know the dose. ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
22,   At what ages should you do a Denver Developmental Screening Test? ,   At what ages should you do a Denver Developmental Screening Test?
23,   At what ages should you do a Denver Developmental Screening Test? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
24,   What is the maximum dose of digoxin? (patient seen in emergency room had digoxin level less than 0.03) ,"   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
25,   What is the maximum dose of digoxin? (patient seen in emergency room had digoxin level less than 0.03) ,   How should I treat polymenorrhea in a 14-year-old girl?
26,   What size pills does digoxin come in? ,   What size pills does digoxin come in?
27,   What size pills does digoxin come in? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
28,   What are the indications for getting a digoxin level? ,   What are the indications for getting a digoxin level?
29,   What are the indications for getting a digoxin level? ,   Why did she get Coccidiomycosis?
30,"   Why wasn't this patient very sick?  (patient with large empyema and Haemophilus influenza in sputum, no growth from empyema fluid.) Empyema Influenza, Human Haemophilus Infections Haemophilus Influenzae ",   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
31,"   Why wasn't this patient very sick?  (patient with large empyema and Haemophilus influenza in sputum, no growth from empyema fluid.) Empyema Influenza, Human Haemophilus Infections Haemophilus Influenzae ",   How should I treat polymenorrhea in a 14-year-old girl?
32,"   Is Serzone okay to give to someone with a partial gastrectomy, will it be absorbed? ","   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?"
33,   What is the dose of Sporanox? ,   What is the dose of Sporanox?
34,   What is the dose of Sporanox? ,   Let's give these immunizations.  That's right isn't it?
35,   Should we do a CT (computerized tomography) with contrast tomorrow (Saturday) or wait until Monday to do an MRI (magnetic resonance imaging) (when the machine on truck comes)? ,   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
36,   Should we do a CT (computerized tomography) with contrast tomorrow (Saturday) or wait until Monday to do an MRI (magnetic resonance imaging) (when the machine on truck comes)? ,   How do you use Redux?  What are the indications?
37,   What is the dose of Famvir? ,   What is the dose of Famvir?
38,   What is the dose of Famvir? ,   How should I treat polymenorrhea in a 14-year-old girl?
39,   What is the other drug besides Famvir and acyclovir for Herpes Zoster? Herpes Zoster ,   What is the other drug besides Famvir and acyclovir for Herpes Zoster?
40,   What is the other drug besides Famvir and acyclovir for Herpes Zoster? Herpes Zoster ,   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
41,   Obstetric patient at 39 weeks had little sore possible herpes.  How long after the lesion heals is it safe to let her deliver vaginally? Pressure Ulcer Herpes Simplex Herpes Labialis ,"   Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?"
42,   Obstetric patient at 39 weeks had little sore possible herpes.  How long after the lesion heals is it safe to let her deliver vaginally? Pressure Ulcer Herpes Simplex Herpes Labialis ,   I wonder if this patient could have a rotator cuff thing?
43,"   There was this maneuver mentioned at a continuing medical education course for vertigo, but I couldn't remember how to do it or the name of it. Vertigo Dizziness ","   Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it."
44,"   There was this maneuver mentioned at a continuing medical education course for vertigo, but I couldn't remember how to do it or the name of it. Vertigo Dizziness ",   At what ages should you do a Denver Developmental Screening Test?
45,"   Does this patient with a plate in her hip, but no murmur, need subacute bacterial endocarditis prophylaxis before the dentist cleans her teeth? Endocarditis Endocarditis, Bacterial Infective Endocarditis ","   Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?"
46,"   Does this patient with a plate in her hip, but no murmur, need subacute bacterial endocarditis prophylaxis before the dentist cleans her teeth? Endocarditis Endocarditis, Bacterial Infective Endocarditis ",   Let's give these immunizations.  That's right isn't it?
47,   Can you use Prozac along with lithium? ,   Can you use Prozac along with lithium?
48,   Can you use Prozac along with lithium? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
49,   What is in Ortho Novum 1/35? ,   What is in Ortho Novum 1/35?
50,   What is in Ortho Novum 1/35? ,   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
51,   How should you adjust the birth control pill if someone has spotting on it? ,   How should you adjust the birth control pill if someone has spotting on it?
52,   How should you adjust the birth control pill if someone has spotting on it? ,   On nonstress test after every acceleration brief sharp not deep deceleration. Important?
53,   What are the causes of tinnitus? Tinnitus ,   What are the causes of tinnitus?
54,   What are the causes of tinnitus? Tinnitus ,   How should I treat polymenorrhea in a 14-year-old girl?
55,   Could Procardia or Mevacor cause tinnitus? Tinnitus ,   Could Procardia or Mevacor cause tinnitus?
56,   Could Procardia or Mevacor cause tinnitus? Tinnitus ,   Let's give these immunizations.  That's right isn't it?
57,"   I'm always uncomfortable with how quickly to move in terms of workup (patient had been having TIA (transient ischemic attack) symptoms for several weeks) Ischemia Stroke Ischemic Attack, Transient ",   Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.
58,"   In this patient with TIAs (transient ischemic attacks) and no cardiac murmur, should I do an echocardiogram anyway? Ischemia Stroke Ischemic Attack, Transient Ischemia Stroke Ischemic Attack, Transient ","   In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?"
59,"   In this patient with TIAs (transient ischemic attacks) and no cardiac murmur, should I do an echocardiogram anyway? Ischemia Stroke Ischemic Attack, Transient Ischemia Stroke Ischemic Attack, Transient ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
60,   This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important? ,   On nonstress test after every acceleration brief sharp not deep deceleration. Important?
61,   This patient had a nonstress test one week ago and at the end of every acceleration there was a brief sharp spike not very deep deceleration.  Is this important? ,   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
62,   How should I workup this baby with a single umbilical artery?  Thirty percent of such babies have anomalies but where should I look if not obvious on physical exam? ,   How should I workup this baby with a single umbilical artery?
63,   Do I need to wait until the baby is a certain age before I do the renal ultrasound for single umbilical artery? ,   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
64,"   This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out. Exanthema Impetigo Herpes Zoster ",   Is this rash shingles or staphylococcal impetigo?
65,"   This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out. Exanthema Impetigo Herpes Zoster ",   Is melatonin good for anything?  What is the dose?
66,   The patient has been symptomatic with shingles for 4 days -- Can I still give Zovirax? Herpes Zoster ,   Has had shingles for 4 days -- Can I still give Zovirax?
67,   The patient has been symptomatic with shingles for 4 days -- Can I still give Zovirax? Herpes Zoster ,   How should I treat polymenorrhea in a 14-year-old girl?
68,   What is a good steroid eye drop? ,   What is a good steroid eye drop?
69,   What is a good steroid eye drop? ,   What is the dose of Sporanox?
70,"   What should I do with this patient whose biopsy report shows carcinoma in situ of the vulva? Carcinoma Carcinoma, Transitional Cell Transitional Cell Carcinoma ","   What to do with this patient, biopsy shows carcinoma in situ of the vulva?"
71,"   What should I do with this patient whose biopsy report shows carcinoma in situ of the vulva? Carcinoma Carcinoma, Transitional Cell Transitional Cell Carcinoma ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
72,   What is the dose of Neurontin? ,   What is the dose of Neurontin?
73,   What is the dose of Neurontin? ,   I wonder if this patient could have a rotator cuff thing?
74,   Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism. Embolism Pulmonary Embolism Lung Neoplasms Dyspnea ,   Why is this otherwise healthy 28-year-old woman short of breath?
75,   Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism. Embolism Pulmonary Embolism Lung Neoplasms Dyspnea ,   Let's give these immunizations.  That's right isn't it?
76,"   Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs.  Now she asks ""Are you careful about protecting yourself against sexually transmitted diseases?""  Her question is whether there is a better way to ask this. ",   Is there a better way to introduce the subject of sexually transmitted disease?
