chq,faq,Entities,labels
How should I treat polymenorrhea in a 14-year-old girl?,How should I treat polymenorrhea in a 14-year-old girl?,['polymenorrhea'],1
   Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
","['heparin', 'thrombosis']",1
   Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?,"
   What are the side effects of Florinef?  Could it cause headaches?
","['heparin', 'thrombosis']",0
   Let's give these immunizations.  That's right isn't it?,"
   Let's give these immunizations.  That's right isn't it?
",[],1
   Let's give these immunizations.  That's right isn't it?,"
   Is there more support we can provide patients with macular degeneration?
",[],0
"   Since these boys' father has Marfan's Syndrome, do these boys need further evaluation?","
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","[""Marfan's Syndrome""]",1
"   Since these boys' father has Marfan's Syndrome, do these boys need further evaluation?",How should I treat polymenorrhea in a 14-year-old girl?,"[""Marfan's Syndrome""]",0
"   Why did they cut out the expanding granuloma which was due to Coccidiomycosis immitis, rather than just treat it medically?","
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
","['Coccidiomycosis', 'granuloma']",1
"Why did she get Coccidiomycosis?  She's in her 60's, goes to Florida every winter.","
   Why did she get Coccidiomycosis?
",['Coccidiomycosis'],1
   How do you inject the bicipital tendon?,"
   How do you inject the bicipital tendon?
",[],1
   How do you inject the bicipital tendon?,"
   Let's give these immunizations.  That's right isn't it?
",[],0
   I wonder if this patient could have a rotator cuff thing?,"
   I wonder if this patient could have a rotator cuff thing?
",[],1
   I wonder if this patient could have a rotator cuff thing?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",[],0
   How do you use Redux?  What are the indications?,"
   How do you use Redux?  What are the indications?
",[],1
   How do you use Redux?  What are the indications?,How should I treat polymenorrhea in a 14-year-old girl?,[],0
   What is the cause and treatment of this old man's stomatitis?,"
   What is the cause and treatment of this old man's stomatitis?
",['stomatitis'],1
   What antibiotic should I use for this diabetic patient's infected foot ulcer?,"
   What antibiotic should I use for this diabetic patient's infected foot ulcer?
","['diabetic', 'infected foot ulcer']",1
   What antibiotic should I use for this diabetic patient's infected foot ulcer?,"
   At what ages should you do a Denver Developmental Screening Test?
","['diabetic', 'infected foot ulcer']",0
"   Should we switch now to just Ancef?  Are you satisfied with the rate of improvement? (Orthopedist did not get culture, foot still red)","
   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
",['Orthopedist'],1
"   Should we switch now to just Ancef?  Are you satisfied with the rate of improvement? (Orthopedist did not get culture, foot still red)","
   What are the causes of tinnitus?
",['Orthopedist'],0
   Is melatonin good for anything?  I don't know anything about melatonin.  I need to know the dose.,"
   Is melatonin good for anything?  What is the dose?
",['melatonin'],1
   Is melatonin good for anything?  I don't know anything about melatonin.  I need to know the dose.,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['melatonin'],0
   At what ages should you do a Denver Developmental Screening Test?,"
   At what ages should you do a Denver Developmental Screening Test?
",[],1
